transaction_id,customer_id,product_id,quantity,unit_price,total_amount,transaction_date,region
TXN001,CUST001,PROD001,2,29.99,59.98,2024-01-15 10:30:00,North
TXN002,CUST002,PROD002,1,149.99,149.99,2024-01-15 11:15:00,South
TXN003,CUST003,PROD001,3,29.99,89.97,2024-01-15 12:00:00,East
TXN004,CUST001,PROD003,1,79.99,79.99,2024-01-15 13:45:00,North
TXN005,CUST004,PROD002,2,149.99,299.98,2024-01-15 14:20:00,West
TXN006,CUST005,PROD004,1,199.99,199.99,2024-01-15 15:10:00,South
TXN007,CUST002,PROD001,1,29.99,29.99,2024-01-15 16:30:00,South
TXN008,CUST006,PROD003,2,79.99,159.98,2024-01-15 17:15:00,East
TXN009,CUST003,PROD004,1,199.99,199.99,2024-01-15 18:00:00,East
TXN010,CUST007,PROD002,1,149.99,149.99,2024-01-15 19:30:00,West
TXN011,,PROD001,1,29.99,29.99,2024-01-15 20:15:00,North
TXN012,CUST008,PROD005,3,39.99,119.97,2024-01-15 21:00:00,South
TXN013,CUST009,PROD003,1,79.99,79.99,2024-01-15 21:45:00,West
TXN014,CUST010,PROD001,5,29.99,149.95,2024-01-15 22:30:00,North
TXN015,CUST004,PROD004,1,199.99,199.99,2024-01-15 23:15:00,West